Experiment;Condition;Temp;Rep;Time;logN
1;1;55.0;1;0.0;7.32
1;1;55.0;1;15.0;6.32
1;1;55.0;1;30.0;5.20
1;1;55.0;1;45.0;4.92
1;1;55.0;1;60.0;4.74
1;1;55.0;1;90.0;3.93
1;1;55.0;1;105.0;3.78
1;1;55.0;1;120.0;3.00
2;1;55.0;2;0.0;7.31
2;1;55.0;2;15.0;6.51
2;1;55.0;2;30.0;5.13
2;1;55.0;2;45.0;4.81
2;1;55.0;2;60.0;4.28
2;1;55.0;2;75.0;4.06
2;1;55.0;2;90.0;3.18
2;1;55.0;2;105.0;2.68
3;2;57.5;1;0.0;7.28
3;2;57.5;1;5.0;5.88
3;2;57.5;1;10.0;5.05
3;2;57.5;1;15.0;4.71
3;2;57.5;1;20.0;3.78
3;2;57.5;1;25.0;3.75
3;2;57.5;1;30.0;3.73
3;2;57.5;1;40.0;3.33
3;2;57.5;1;45.0;3.46
3;2;57.5;1;55.0;2.69
3;2;57.5;1;60.0;2.77
4;2;57.5;2;0.0;7.00
4;2;57.5;2;5.0;5.28
4;2;57.5;2;10.0;5.07
4;2;57.5;2;15.0;4.75
4;2;57.5;2;20.0;4.76
4;2;57.5;2;30.0;3.38
4;2;57.5;2;40.0;3.29
4;2;57.5;2;50.0;2.46
4;2;57.5;2;60.0;2.35
5;3;60.0;1;0.0;7.33
5;3;60.0;1;2.5;6.07
5;3;60.0;1;5.0;4.88
5;3;60.0;1;7.5;4.00
5;3;60.0;1;10.0;3.80
5;3;60.0;1;12.5;3.50
5;3;60.0;1;15.0;3.38
6;3;60.0;2;0.0;7.11
6;3;60.0;2;2.5;6.09
6;3;60.0;2;5.0;4.51
6;3;60.0;2;7.5;3.95
6;3;60.0;2;10.0;3.85
6;3;60.0;2;12.5;3.65
7;4;62.5;1;0.0;7.44
7;4;62.5;1;0.5;6.89
7;4;62.5;1;1.0;6.33
7;4;62.5;1;1.5;5.88
7;4;62.5;1;2.0;5.48
7;4;62.5;1;2.5;4.69
7;4;62.5;1;3.0;4.51
7;4;62.5;1;3.5;3.54
7;4;62.5;1;4.0;3.60
7;4;62.5;1;4.5;3.44
7;4;62.5;1;5.0;3.22
7;4;62.5;1;6.0;2.92
8;4;62.5;2;0.0;7.15
8;4;62.5;2;0.5;6.86
8;4;62.5;2;1.0;6.45
8;4;62.5;2;1.5;6.32
8;4;62.5;2;2.0;5.78
8;4;62.5;2;2.5;5.23
8;4;62.5;2;3.0;4.51
8;4;62.5;2;3.5;4.60
8;4;62.5;2;4.0;4.47
8;4;62.5;2;4.5;3.74
8;4;62.5;2;5.0;3.30
8;4;62.5;2;6.0;3.20
